major_theme,mid_level_theme,level,connection_type,reference,notes
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Psalm 137,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Psalm 44,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Jeremiah 29,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Letter of Aristeas,
Ethics & Justice,Social Justice,MID_LEVEL,,,Social Justice - 8 connections
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Deuteronomy 15,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Deuteronomy 24,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Isaiah 1:17,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Isaiah 58,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Jeremiah 22:3,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Amos 5:24,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Micah 6:8,
Ethics & Justice,Social Justice,FINE_GRAINED,Direct Reference,Zechariah 7:9-10,
Ethics & Justice,Righteousness,MID_LEVEL,,,Righteousness - 8 connections
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Genesis 15:6,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Psalm 1,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Psalm 15,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Psalm 24,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Isaiah 33:15-16,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Habakkuk 2:4,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Matthew 5-7,
Ethics & Justice,Righteousness,FINE_GRAINED,Direct Reference,Romans 4,
Ethics & Justice,Poverty & Wealth,MID_LEVEL,,,Poverty & Wealth - 8 connections
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Deuteronomy 15,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Deuteronomy 24,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Proverbs 13-15,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Proverbs 22-23,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Amos 2-6,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Micah 2-3,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,Jeremiah 22,
Ethics & Justice,Poverty & Wealth,FINE_GRAINED,Direct Reference,James 5,
Ethics & Justice,Truth & Falsehood,MID_LEVEL,,,Truth & Falsehood - 7 connections
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Exodus 20:16,
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Proverbs 12-13,
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Proverbs 6:16-19,
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Jeremiah 9:5-6,
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Zechariah 8:16-17,
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Ephesians 4:25,
Ethics & Justice,Truth & Falsehood,FINE_GRAINED,Direct Reference,Colossians 3:9,
Human Nature & Destiny,Creation of Humanity,MID_LEVEL,,,Creation of Humanity - 7 connections
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,Genesis 1-2,
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,Psalm 8,
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,Psalm 139,
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,Sirach 17,
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,Wisdom 2:23,
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,1 Corinthians 15:45-49,
Human Nature & Destiny,Creation of Humanity,FINE_GRAINED,Direct Reference,James 3:7-10,
Human Nature & Destiny,Sin & Fall,MID_LEVEL,,,Sin & Fall - 8 connections
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Genesis 3,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Romans 5,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,1 Corinthians 15,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Wisdom 2-4,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Sirach 25,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Psalm 51,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Ezekiel 18,
Human Nature & Destiny,Sin & Fall,FINE_GRAINED,Direct Reference,Jeremiah 17,
Human Nature & Destiny,Life After Death,MID_LEVEL,,,Life After Death - 8 connections
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,Psalm 16:10,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,Psalm 49,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,Psalm 73,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,Isaiah 26:19,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,Daniel 12:2-3,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,2 Maccabees 7,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,1 Corinthians 15,
Human Nature & Destiny,Life After Death,FINE_GRAINED,Direct Reference,John 5:28-29,
Human Nature & Destiny,Eschatology,MID_LEVEL,,,Eschatology - 8 connections
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Daniel 7-12,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Isaiah 24-27,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Ezekiel 38-39,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Zechariah 12-14,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Joel 2-3,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Matthew 24-25,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,Revelation 20-22,
Human Nature & Destiny,Eschatology,FINE_GRAINED,Direct Reference,1 Enoch 91-105,
