major_theme,mid_level_theme,level,connection_type,reference,description,testament,genre
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Hebrews 11:32,Judges in faith hall,New Testament,General
Conquest & Judges,Ruth,MID_LEVEL,,,Ruth - 5 passages,Old Testament,Narrative
Conquest & Judges,Ruth,FINE_GRAINED,Direct Reference,Ruth 1,Naomi's return,Old Testament,Narrative
Conquest & Judges,Ruth,FINE_GRAINED,Direct Reference,Ruth 2,Gleaning with Boaz,Old Testament,Narrative
Conquest & Judges,Ruth,FINE_GRAINED,Direct Reference,Ruth 3,Midnight encounter,Old Testament,Narrative
Conquest & Judges,Ruth,FINE_GRAINED,Direct Reference,Ruth 4,Redemption & marriage,Old Testament,Narrative
Conquest & Judges,Ruth,FINE_GRAINED,Direct Reference,Matthew 1:5,Ruth in genealogy,New Testament,Gospel
Conquest & Judges,Samuel,MID_LEVEL,,,Samuel - 8 passages,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,1 Samuel 1-3,Hannah & Samuel,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,1 Samuel 4-7,Ark narratives,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,1 Samuel 8,Request for king,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,1 Samuel 9-15,Saul's reign,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,1 Samuel 16-31,David & Saul,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,2 Samuel 1-24,David's reign,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,1 Chronicles 10-29,Chronicler's version,Old Testament,Narrative
Conquest & Judges,Samuel,FINE_GRAINED,Direct Reference,Acts 13:16-23,Paul on Samuel,New Testament,General
Wisdom Literature,Nature of Wisdom,MID_LEVEL,,,Nature of Wisdom - 12 passages,Apocrypha,General
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Job 28,Where is wisdom?,Old Testament,General
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 1:7,Fear of Lord,Old Testament,Wisdom
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 2,Wisdom's value,Old Testament,Wisdom
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 3:13-18,Blessing of wisdom,Old Testament,Wisdom
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 4,Get wisdom,Old Testament,Wisdom
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 8,Wisdom personified,Old Testament,Wisdom
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 9,Wisdom's feast,Old Testament,Wisdom
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Sirach 1,Wisdom's praise,Apocrypha,General
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Sirach 24,Wisdom's origin,Apocrypha,General
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,Wisdom 7-9,Nature of wisdom,Apocrypha,General
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,James 1:5,Ask for wisdom,New Testament,General
Wisdom Literature,Nature of Wisdom,FINE_GRAINED,Direct Reference,James 3:13-18,Two wisdoms,New Testament,General
Wisdom Literature,Suffering of Righteous,MID_LEVEL,,,Suffering of Righteous - 13 passages,Apocrypha,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 1-2,Job's trials,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 3,Lament,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 4-27,Friends' dialogues,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 28,Wisdom chapter,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 29-31,Job's defense,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 32-37,Elihu,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 38-41,God speaks,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Job 42,Restoration,Old Testament,General
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Psalm 22,Suffering psalm,Old Testament,Poetry
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Psalm 44,National suffering,Old Testament,Poetry
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Lamentations,Jerusalem's suffering,Old Testament,Poetry
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,Isaiah 53,Suffering servant,Old Testament,Prophecy
Wisdom Literature,Suffering of Righteous,FINE_GRAINED,Direct Reference,1 Peter 4:12-19,Suffering as Christian,New Testament,General
Wisdom Literature,Meaning of Life,MID_LEVEL,,,Meaning of Life - 14 passages,Apocrypha,General
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 1,Vanity of life,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 2,Pleasures futile,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 3,Seasons of life,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 4,Life's hardships,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 5,Approach God,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 6,Evils under sun,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 7,Wisdom and folly,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 8,Divine sovereignty,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 9,Death and life,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 10,Wisdom and folly,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 11,Youth and old age,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Ecclesiastes 12,Remember creator,Old Testament,Wisdom
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Matthew 6:19-34,True treasures,New Testament,Gospel
Wisdom Literature,Meaning of Life,FINE_GRAINED,Direct Reference,Philippians 4:11-13,Contentment,New Testament,General
Wisdom Literature,Marriage & Family,MID_LEVEL,,,Marriage & Family - 13 passages,Apocrypha,General
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 5,Avoid adultery,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 6:20-35,Adultery's cost,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 7,Strange woman,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 12:4,Virtuous wife,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 14:1,Wise woman,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 18:22,Find good wife,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 19:13-14,Family strife,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 20:20,Honor parents,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 22:6,Train up child,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Proverbs 31,Virtuous woman,Old Testament,Wisdom
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Song of Songs,Marital love,Old Testament,Poetry
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Malachi 2:14-16,Marriage covenant,Old Testament,Prophecy
Wisdom Literature,Marriage & Family,FINE_GRAINED,Direct Reference,Ephesians 5:21-33,Marriage mystery,New Testament,General
Wisdom Literature,Speech & Tongue,MID_LEVEL,,,Speech & Tongue - 18 passages,Apocrypha,General
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 10:19,Few words,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 12:18,Healing speech,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 13:3,Guard mouth,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 15:1,Soft answer,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 15:23,Timely word,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 16:24,Pleasant words,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 17:27-28,Silence is wise,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 18:13,Listen first,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 18:21,Death and life,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 20:15,Knowledge in lips,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 21:23,Guard mouth and soul,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 25:11,Word fitly spoken,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 26:4-5,Fool's debate,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 26:18-19,Madness,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,Proverbs 27:2,Praise not self,Old Testament,Wisdom
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,James 1:19,Slow to speak,New Testament,General
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,James 3,Taming tongue,New Testament,General
Wisdom Literature,Speech & Tongue,FINE_GRAINED,Direct Reference,1 Peter 3:10,Control tongue,New Testament,General
Wisdom Literature,Wealth & Poverty,MID_LEVEL,,,Wealth & Poverty - 42 passages,Apocrypha,General
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 10:2-4,Wealth/poverty,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 10:22,Lord's blessing,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 11:4,Riches not profit,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 11:24-28,Generosity,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 13:7-8,Rich/poor illusions,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 13:11,Wealth from diligence,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 13:22,Inheritance to children,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 14:20-24,Poor,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 15:16-17,Better poverty,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 16:8,Better justice,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 17:5,Mocking poor,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 18:23,Poor petitions,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 19:4,Wealth's friends,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 19:7,Poor's family,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 19:17,Lend to Lord,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 20:13,Don't love sleep,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 21:13,Poor's cry,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 21:17,Pleasures vain,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 22:2,Rich/poor made,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 22:7,Borrower servant,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 22:9,Generous blessed,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 22:16,Oppressing poor,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 22:22-23,Don't exploit poor,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 23:4-5,Don't weary for rich,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 24:30-34,Lazy field,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:3,Poor oppressing,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:6,Poor integrity,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:8,Usury,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:11,Rich appears wise,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:20,Faithful blessed,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:22,Hasty rich,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 28:27,Giving to poor,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 29:7,Poor's justice,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 29:13,Poor/poorer,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Proverbs 30:7-9,Contentment,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Ecclesiastes 5:10-20,Wealth vanity,Old Testament,Wisdom
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Matthew 6:19-21,Treasures,New Testament,Gospel
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,Luke 12:15-21,Rich fool,New Testament,Gospel
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,1 Timothy 6:6-10,Contentment,New Testament,General
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,James 1:9-11,Boasting,New Testament,General
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,James 2:1-9,Partiality,New Testament,General
Wisdom Literature,Wealth & Poverty,FINE_GRAINED,Direct Reference,James 5:1-6,Rich condemnation,New Testament,General
Psalms & Poetry,Royal Psalms,MID_LEVEL,,,Royal Psalms - 9 passages,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 2,Coronation psalm,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 18,David's victory,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 20,Prayer for king,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 21,King's triumph,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 45,Royal wedding,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 72,Ideal king,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 89,Davidic covenant,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 110,Priest-king,Old Testament,Poetry
Psalms & Poetry,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 144,King's victory,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,MID_LEVEL,,,Wisdom Psalms - 20 passages,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 1,Two ways,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 19,Creation and law,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 32,Confession blessed,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 34,Fear the Lord,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 37,Wait for Lord,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 49,Wealth's folly,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 73,Problem of evil,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 78,History lesson,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 90,Human mortality,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 92,Wisdom of aging,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 94,God's wisdom,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 103,God's mercy,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 107,Four redemptions,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 112,Righteous blessed,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 119,Law's value,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 127,Human effort vain,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 128,Blessed home,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 133,Brotherly love,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 139,God's knowledge,Old Testament,Poetry
Psalms & Poetry,Wisdom Psalms,FINE_GRAINED,Direct Reference,Psalm 145,God's praise,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,MID_LEVEL,,,Lament Psalms - 40 passages,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 6,Sickness lament,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 13,How long?,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 22,Forsaken psalm,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 30,Past deliverance,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 31,Persecuted,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 35,False accusation,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 38,Sickness,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 39,Life's brevity,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 42-43,Thirst for God,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 44,National lament,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 51,Penitential,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 55,Betrayal,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 57,Refuge,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 60,Defeat,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 61,Refuge,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 63,Spiritual thirst,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 64,Enemy plots,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 69,Righteous suffering,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 70,Urgent help,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 71,Aged lament,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 74,Temple destroyed,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 77,God's silence,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 79,Jerusalem,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 80,Shepherd plea,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 83,Enemies,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 85,Restoration plea,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 86,Needy prayer,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 88,Dark despair,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 90,Human frailty,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 94,Vengeance plea,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 102,Afflicted soul,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 109,Imprecatory,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 120,Distress,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 123,Mercy plea,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 130,Depths,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 140,Violent men,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 141,Protection,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 142,Refuge,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 143,Revival,Old Testament,Poetry
Psalms & Poetry,Lament Psalms,FINE_GRAINED,Direct Reference,Psalm 144,Struggle,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,MID_LEVEL,,,Thanksgiving Psalms - 26 passages,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 30,Deliverance,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 40,Answered prayer,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 66,Praise for deliverance,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 68,Triumph,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 75,Thanksgiving,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 92,Sabbath thanksgiving,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 96,Thankful worship,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 97,Lord reigns,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 98,New song,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 100,Enter gates,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 103,Bless the Lord,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 106,Thanksgiving with history,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 107,Thankful redemption,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 116,Thankful love,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 118,Thanksgiving,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 119:1-8,Blessing for obedience,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 124,Deliverance thanks,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 129,Persecution overcome,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 130,Forgiveness thanks,Old Testament,Poetry
Psalms & Poetry,Thanksgiving Psalms,FINE_GRAINED,Direct Reference,Psalm 132,David's throne,Old Testament,Poetry
